Description about the run
bar.40004; predicted_sense: [16938, Synset('barroom.n.01')]; correct_sense: bar-0;
day.40237; predicted_sense: [618960, Synset('day.n.05')]; correct_sense: day-0;

day.40240; predicted_sense: [183193, Synset('day.n.03')]; correct_sense: day-3;

day.40242; predicted_sense: [770491, Synset('day.n.05')]; correct_sense: day-3;

day.40244; predicted_sense: [3193881, Synset('day.n.02')]; correct_sense: day-0;

day.40246; predicted_sense: [64057, Synset('sidereal_day.n.01')]; correct_sense: day-0;

day.40249; predicted_sense: [946, Synset('day.n.03')]; correct_sense: day-1;

day.40250; predicted_sense: [88254, Synset('day.n.07')]; correct_sense: day-1;

day.40255; predicted_sense: [426414, Synset('day.n.03')]; correct_sense: day-3;

day.40259; predicted_sense: [387981, Synset('day.n.03')]; correct_sense: day-0;

day.40261; predicted_sense: [3494985, Synset('day.n.02')]; correct_sense: day-0;

day.40262; predicted_sense: [396720, Synset('day.n.03')]; correct_sense: day-0;

day.40265; predicted_sense: [97120, Synset('day.n.05')]; correct_sense: day-3;

day.40266; predicted_sense: [435311, Synset('day.n.01')]; correct_sense: day-1;

day.40268; predicted_sense: [1294701, Synset('day.n.03')]; correct_sense: day-1;

day.40269; predicted_sense: [1120362, Synset('day.n.03')]; correct_sense: day-3;

day.40271; predicted_sense: [392908, Synset('day.n.05')]; correct_sense: day-0;

day.40274; predicted_sense: [1845572, Synset('day.n.02')]; correct_sense: day-0;

day.40275; predicted_sense: [1304302, Synset('day.n.07')]; correct_sense: day-3;

day.40278; predicted_sense: [184030, Synset('day.n.03')]; correct_sense: day-0;

day.40280; predicted_sense: [79789, Synset('day.n.03')]; correct_sense: day-0;

day.40281; predicted_sense: [802482, Synset('day.n.05')]; correct_sense: day-0;

day.40283; predicted_sense: [3141875, Synset('day.n.02')]; correct_sense: day-0;

day.40287; predicted_sense: [55441, Synset('day.n.10')]; correct_sense: day-3;

day.40289; predicted_sense: [856296, Synset('day.n.03')]; correct_sense: day-0;

day.40290; predicted_sense: [422987, Synset('day.n.01')]; correct_sense: day-0;

day.40292; predicted_sense: [13038, Synset('day.n.03')]; correct_sense: day-0;

day.40293; predicted_sense: [207321, Synset('day.n.03')]; correct_sense: day-1;

day.40295; predicted_sense: [803569, Synset('day.n.05')]; correct_sense: day-1;

day.40296; predicted_sense: [563169, Synset('day.n.05')]; correct_sense: day-3;

day.40299; predicted_sense: [628489, Synset('day.n.05')]; correct_sense: day-1;

day.40304; predicted_sense: [202974, Synset('day.n.03')]; correct_sense: day-0;

day.40310; predicted_sense: [287180, Synset('day.n.03')]; correct_sense: day-0;

day.40313; predicted_sense: [3235554, Synset('day.n.02')]; correct_sense: day-0;

day.40314; predicted_sense: [2397954, Synset('day.n.03')]; correct_sense: day-0;

day.40319; predicted_sense: [980057, Synset('day.n.05')]; correct_sense: day-0;

day.40322; predicted_sense: [1054623, Synset('day.n.03')]; correct_sense: day-3;

day.40325; predicted_sense: [1177225, Synset('day.n.03')]; correct_sense: day-0;

day.40326; predicted_sense: [78896, Synset('day.n.01')]; correct_sense: day-3;

day.40331; predicted_sense: [1401464, Synset('day.n.03')]; correct_sense: day-0;

day.40334; predicted_sense: [784064, Synset('day.n.03')]; correct_sense: day-0;

day.40340; predicted_sense: [386496, Synset('day.n.03')]; correct_sense: day-1;

day.40341; predicted_sense: [175393, Synset('day.n.01')]; correct_sense: day-1;

day.40343; predicted_sense: [1304082, Synset('day.n.02')]; correct_sense: day-3;

day.40344; predicted_sense: [55441, Synset('day.n.10')]; correct_sense: day-0;

day.40346; predicted_sense: [770491, Synset('day.n.05')]; correct_sense: day-3;

day.40347; predicted_sense: [962439, Synset('day.n.05')]; correct_sense: day-0;

day.40349; predicted_sense: [545377, Synset('day.n.03')]; correct_sense: day-3;

day.40350; predicted_sense: [934710, Synset('day.n.03')]; correct_sense: day-0;

day.40353; predicted_sense: [330545, Synset('day.n.01')]; correct_sense: day-1;

day.40356; predicted_sense: [807782, Synset('day.n.03')]; correct_sense: day-0;

day.40358; predicted_sense: [7030, Synset('sidereal_day.n.01')]; correct_sense: day-0;

day.40359; predicted_sense: [437286, Synset('day.n.01')]; correct_sense: day-0;

day.40361; predicted_sense: [435355, Synset('day.n.03')]; correct_sense: day-0;

day.40362; predicted_sense: [624527, Synset('day.n.05')]; correct_sense: day-0;

day.40369; predicted_sense: [1585964, Synset('day.n.02')]; correct_sense: day-0;

day.40372; predicted_sense: [1089783, Synset('day.n.03')]; correct_sense: day-3;

day.40374; predicted_sense: [4466010, Synset('day.n.02')]; correct_sense: day-0;

day.40376; predicted_sense: [365528, Synset('day.n.03')]; correct_sense: day-0;

day.40378; predicted_sense: [97120, Synset('day.n.05')]; correct_sense: day-0;

day.40379; predicted_sense: [131, Synset('day.n.01')]; correct_sense: day-0;

day.40381; predicted_sense: [229729, Synset('day.n.03')]; correct_sense: day-0;

day.40382; predicted_sense: [1254804, Synset('day.n.03')]; correct_sense: day-3;

day.40384; predicted_sense: [360763, Synset('day.n.03')]; correct_sense: day-3;

day.40385; predicted_sense: [397032, Synset('day.n.01')]; correct_sense: day-0;

day.40387; predicted_sense: [278559, Synset('day.n.03')]; correct_sense: day-0;

day.40388; predicted_sense: [183447, Synset('day.n.01')]; correct_sense: day-0;

day.40390; predicted_sense: [293275, Synset('day.n.03')]; correct_sense: day-0;

day.40391; predicted_sense: [477229, Synset('day.n.03')]; correct_sense: day-0;

day.40393; predicted_sense: [196083, Synset('day.n.03')]; correct_sense: day-0;

day.40394; predicted_sense: [415076, Synset('day.n.03')]; correct_sense: day-0;

day.40396; predicted_sense: [1304082, Synset('day.n.02')]; correct_sense: day-0;

day.40397; predicted_sense: [741006, Synset('day.n.05')]; correct_sense: day-0;

day.40399; predicted_sense: [4345, Synset('day.n.03')]; correct_sense: day-3;

day.40400; predicted_sense: [212974, Synset('day.n.05')]; correct_sense: day-0;

day.40402; predicted_sense: [3171426, Synset('day.n.02')]; correct_sense: day-0;

day.40403; predicted_sense: [7030, Synset('sidereal_day.n.01')]; correct_sense: day-0;

day.40405; predicted_sense: [3327403, Synset('day.n.02')]; correct_sense: day-3;

day.40408; predicted_sense: [97120, Synset('day.n.05')]; correct_sense: day-0;

day.40409; predicted_sense: [680494, Synset('day.n.03')]; correct_sense: day-0;

day.40412; predicted_sense: [283219, Synset('day.n.05')]; correct_sense: day-1;

day.40415; predicted_sense: [987739, Synset('day.n.03')]; correct_sense: day-3;

day.30008; predicted_sense: [73281, Synset('day.n.01')]; correct_sense: day-0;

day.30026; predicted_sense: [497619, Synset('day.n.03')]; correct_sense: day-0;

day.30030; predicted_sense: [724899, Synset('day.n.03')]; correct_sense: day-0;

day.30033; predicted_sense: [831951, Synset('day.n.05')]; correct_sense: day-1;

day.30034; predicted_sense: [719308, Synset('day.n.03')]; correct_sense: day-0;

day.30037; predicted_sense: [512738, Synset('day.n.03')]; correct_sense: day-0;

day.30039; predicted_sense: [514192, Synset('day.n.05')]; correct_sense: day-0;

day.30040; predicted_sense: [111445, Synset('day.n.03')]; correct_sense: day-0;

day.30043; predicted_sense: [124858, Synset('day.n.03')]; correct_sense: day-0;

day.30044; predicted_sense: [3321885, Synset('day.n.02')]; correct_sense: day-0;

day.30046; predicted_sense: [387532, Synset('day.n.03')]; correct_sense: day-1;

day.30050; predicted_sense: [205554, Synset('day.n.05')]; correct_sense: day-0;

day.30051; predicted_sense: [427779, Synset('day.n.03')]; correct_sense: day-0;

day.30053; predicted_sense: [54283, Synset('day.n.03')]; correct_sense: day-0;

day.30058; predicted_sense: [3489428, Synset('day.n.02')]; correct_sense: day-0;

day.30062; predicted_sense: [305114, Synset('day.n.03')]; correct_sense: day-0;

day.30064; predicted_sense: [763981, Synset('day.n.05')]; correct_sense: day-0;

day.30065; predicted_sense: [122668, Synset('day.n.03')]; correct_sense: day-1;

day.30067; predicted_sense: [567526, Synset('day.n.03')]; correct_sense: day-0;

day.30070; predicted_sense: [248901, Synset('day.n.03')]; correct_sense: day-3;

day.30071; predicted_sense: [431433, Synset('day.n.03')]; correct_sense: day-0;

day.30073; predicted_sense: [3095974, Synset('day.n.05')]; correct_sense: day-0;

day.30074; predicted_sense: [477347, Synset('day.n.03')]; correct_sense: day-0;

day.30076; predicted_sense: [148728, Synset('day.n.03')]; correct_sense: day-0;

day.30077; predicted_sense: [1017331, Synset('day.n.05')]; correct_sense: day-1;

day.30079; predicted_sense: [271842, Synset('day.n.03')]; correct_sense: day-0;

day.30082; predicted_sense: [72496, Synset('day.n.03')]; correct_sense: day-1;

day.30083; predicted_sense: [557997, Synset('day.n.02')]; correct_sense: day-0;

day.30086; predicted_sense: [686031, Synset('day.n.03')]; correct_sense: day-0;

day.30088; predicted_sense: [191407, Synset('day.n.03')]; correct_sense: day-0;

day.30089; predicted_sense: [409339, Synset('day.n.03')]; correct_sense: day-0;

day.30092; predicted_sense: [108329, Synset('day.n.03')]; correct_sense: day-0;

day.30093; predicted_sense: [234948, Synset('day.n.03')]; correct_sense: day-0;

day.30098; predicted_sense: [637135, Synset('day.n.05')]; correct_sense: day-0;

day.30101; predicted_sense: [121767, Synset('day.n.03')]; correct_sense: day-0;

day.30102; predicted_sense: [104490, Synset('day.n.03')]; correct_sense: day-0;

day.30105; predicted_sense: [110333, Synset('day.n.03')]; correct_sense: day-0;

Accuracy: 0.32450331125827814 ; 147 / 453The amount of no_overlap: 7
